Region,NDVI,EVI,Latitude,Longitude
Region_98,0.50098,0.30098,10.0098,-49.9902
Region_99,0.50099,0.30099,10.0099,-49.9901
Region_100,0.501,0.301,10.01,-49.99
Region_101,0.50101,0.30101,10.0101,-49.9899
Region_102,0.50102,0.30102,10.0102,-49.9898
Region_103,0.50103,0.30103,10.0103,-49.9897
Region_104,0.50104,0.30104,10.0104,-49.9896
Region_105,0.50105,0.30105,10.0105,-49.9895
Region_106,0.50106,0.30106,10.0106,-49.9894
Region_107,0.50107,0.30107,10.0107,-49.9893
Region_108,0.50108,0.30108,10.0108,-49.9892
Region_109,0.50109,0.30109,10.0109,-49.9891
Region_110,0.5011,0.3011,10.011,-49.989
Region_111,0.50111,0.30111,10.0111,-49.9889
Region_112,0.50112,0.30112,10.0112,-49.9888
Region_113,0.50113,0.30113,10.0113,-49.9887
Region_114,0.50114,0.30114,10.0114,-49.9886
Region_115,0.50115,0.30115,10.0115,-49.9885
Region_116,0.50116,0.30116,10.0116,-49.9884
Region_117,0.50117,0.30117,10.0117,-49.9883
Region_118,0.50118,0.30118,10.0118,-49.9882
Region_119,0.50119,0.30119,10.0119,-49.9881
Region_120,0.5012,0.3012,10.012,-49.988
Region_121,0.50121,0.30121,10.0121,-49.9879
Region_122,0.50122,0.30122,10.0122,-49.9878
Region_123,0.50123,0.30123,10.0123,-49.9877
Region_124,0.50124,0.30124,10.0124,-49.9876
Region_125,0.50125,0.30125,10.0125,-49.9875
Region_126,0.50126,0.30126,10.0126,-49.9874
Region_127,0.50127,0.30127,10.0127,-49.9873
Region_128,0.50128,0.30128,10.0128,-49.9872
Region_129,0.50129,0.30129,10.0129,-49.9871
Region_130,0.5013,0.3013,10.013,-49.987
Region_131,0.50131,0.30131,10.0131,-49.9869
Region_132,0.50132,0.30132,10.0132,-49.9868
Region_133,0.50133,0.30133,10.0133,-49.9867
Region_134,0.50134,0.30134,10.0134,-49.9866
Region_135,0.50135,0.30135,10.0135,-49.9865
Region_136,0.50136,0.30136,10.0136,-49.9864
Region_137,0.50137,0.30137,10.0137,-49.9863
Region_138,0.50138,0.30138,10.0138,-49.9862
Region_139,0.50139,0.30139,10.0139,-49.9861
Region_140,0.5014,0.3014,10.014,-49.986
Region_141,0.50141,0.30141,10.0141,-49.9859
Region_142,0.50142,0.30142,10.0142,-49.9858
Region_143,0.50143,0.30143,10.0143,-49.9857
Region_144,0.50144,0.30144,10.0144,-49.9856
Region_145,0.50145,0.30145,10.0145,-49.9855
Region_146,0.50146,0.30146,10.0146,-49.9854
Region_147,0.50147,0.30147,10.0147,-49.9853
Region_148,0.50148,0.30148,10.0148,-49.9852
Region_149,0.50149,0.30149,10.0149,-49.9851
Region_150,0.5015,0.3015,10.015,-49.985
Region_151,0.50151,0.30151,10.0151,-49.9849
Region_152,0.50152,0.30152,10.0152,-49.9848
Region_153,0.50153,0.30153,10.0153,-49.9847
Region_154,0.50154,0.30154,10.0154,-49.9846
Region_155,0.50155,0.30155,10.0155,-49.9845
Region_156,0.50156,0.30156,10.0156,-49.9844
Region_157,0.50157,0.30157,10.0157,-49.9843
Region_158,0.50158,0.30158,10.0158,-49.9842
Region_159,0.50159,0.30159,10.0159,-49.9841
Region_160,0.5016,0.3016,10.016,-49.984
Region_161,0.50161,0.30161,10.0161,-49.9839
Region_162,0.50162,0.30162,10.0162,-49.9838
Region_163,0.50163,0.30163,10.0163,-49.9837
Region_164,0.50164,0.30164,10.0164,-49.9836
Region_165,0.50165,0.30165,10.0165,-49.9835
Region_166,0.50166,0.30166,10.0166,-49.9834
Region_167,0.50167,0.30167,10.0167,-49.9833
Region_168,0.50168,0.30168,10.0168,-49.9832
Region_169,0.50169,0.30169,10.0169,-49.9831
Region_170,0.5017,0.3017,10.017,-49.983
Region_171,0.50171,0.30171,10.0171,-49.9829
Region_172,0.50172,0.30172,10.0172,-49.9828
Region_173,0.50173,0.30173,10.0173,-49.9827
Region_174,0.50174,0.30174,10.0174,-49.9826
Region_175,0.50175,0.30175,10.0175,-49.9825
Region_176,0.50176,0.30176,10.0176,-49.9824
Region_177,0.50177,0.30177,10.0177,-49.9823
Region_178,0.50178,0.30178,10.0178,-49.9822
Region_179,0.50179,0.30179,10.0179,-49.9821
Region_180,0.5018,0.3018,10.018,-49.982
Region_181,0.50181,0.30181,10.0181,-49.9819
Region_182,0.50182,0.30182,10.0182,-49.9818
Region_183,0.50183,0.30183,10.0183,-49.9817
Region_184,0.50184,0.30184,10.0184,-49.9816
Region_185,0.50185,0.30185,10.0185,-49.9815
Region_186,0.50186,0.30186,10.0186,-49.9814
Region_187,0.50187,0.30187,10.0187,-49.9813
Region_188,0.50188,0.30188,10.0188,-49.9812
Region_189,0.50189,0.30189,10.0189,-49.9811
Region_190,0.5019,0.3019,10.019,-49.981
Region_191,0.50191,0.30191,10.0191,-49.9809
Region_192,0.50192,0.30192,10.0192,-49.9808
Region_193,0.50193,0.30193,10.0193,-49.9807
Region_194,0.50194,0.30194,10.0194,-49.9806
Region_195,0.50195,0.30195,10.0195,-49.9805
Region_196,0.50196,0.30196,10.0196,-49.9804
Region_197,0.50197,0.30197,10.0197,-49.9803
Region_198,0.50198,0.30198,10.0198,-49.9802
Region_199,0.50199,0.30199,10.0199,-49.9801
Region_200,0.502,0.302,10.02,-49.98
Region_201,0.50201,0.30201,10.0201,-49.9799
Region_202,0.50202,0.30202,10.0202,-49.9798
Region_203,0.50203,0.30203,10.0203,-49.9797
Region_204,0.50204,0.30204,10.0204,-49.9796
Region_205,0.50205,0.30205,10.0205,-49.9795
Region_206,0.50206,0.30206,10.0206,-49.9794
Region_207,0.50207,0.30207,10.0207,-49.9793
Region_208,0.50208,0.30208,10.0208,-49.9792
Region_209,0.50209,0.30209,10.0209,-49.9791
Region_210,0.5021,0.3021,10.021,-49.979
Region_211,0.50211,0.30211,10.0211,-49.9789
Region_212,0.50212,0.30212,10.0212,-49.9788
Region_213,0.50213,0.30213,10.0213,-49.9787
Region_214,0.50214,0.30214,10.0214,-49.9786
Region_215,0.50215,0.30215,10.0215,-49.9785
Region_216,0.50216,0.30216,10.0216,-49.9784
Region_217,0.50217,0.30217,10.0217,-49.9783
Region_218,0.50218,0.30218,10.0218,-49.9782
Region_219,0.50219,0.30219,10.0219,-49.9781
Region_220,0.5022,0.3022,10.022,-49.978
Region_221,0.50221,0.30221,10.0221,-49.9779
Region_222,0.50222,0.30222,10.0222,-49.9778
Region_223,0.50223,0.30223,10.0223,-49.9777
Region_224,0.50224,0.30224,10.0224,-49.9776
Region_225,0.50225,0.30225,10.0225,-49.9775
Region_226,0.50226,0.30226,10.0226,-49.9774
Region_227,0.50227,0.30227,10.0227,-49.9773
Region_228,0.50228,0.30228,10.0228,-49.9772
Region_229,0.50229,0.30229,10.0229,-49.9771
Region_230,0.5023,0.3023,10.023,-49.977
Region_231,0.50231,0.30231,10.0231,-49.9769
Region_232,0.50232,0.30232,10.0232,-49.9768
Region_233,0.50233,0.30233,10.0233,-49.9767
Region_234,0.50234,0.30234,10.0234,-49.9766
Region_235,0.50235,0.30235,10.0235,-49.9765
Region_236,0.50236,0.30236,10.0236,-49.9764
Region_237,0.50237,0.30237,10.0237,-49.9763
Region_238,0.50238,0.30238,10.0238,-49.9762
Region_239,0.50239,0.30239,10.0239,-49.9761
Region_240,0.5024,0.3024,10.024,-49.976
Region_241,0.50241,0.30241,10.0241,-49.9759
Region_242,0.50242,0.30242,10.0242,-49.9758
Region_243,0.50243,0.30243,10.0243,-49.9757
Region_244,0.50244,0.30244,10.0244,-49.9756
Region_245,0.50245,0.30245,10.0245,-49.9755
Region_246,0.50246,0.30246,10.0246,-49.9754
Region_247,0.50247,0.30247,10.0247,-49.9753
Region_248,0.50248,0.30248,10.0248,-49.9752
Region_249,0.50249,0.30249,10.0249,-49.9751
Region_250,0.5025,0.3025,10.025,-49.975
Region_251,0.50251,0.30251,10.0251,-49.9749
Region_252,0.50252,0.30252,10.0252,-49.9748
Region_253,0.50253,0.30253,10.0253,-49.9747
Region_254,0.50254,0.30254,10.0254,-49.9746
Region_255,0.50255,0.30255,10.0255,-49.9745
Region_256,0.50256,0.30256,10.0256,-49.9744
Region_257,0.50257,0.30257,10.0257,-49.9743
Region_258,0.50258,0.30258,10.0258,-49.9742
Region_259,0.50259,0.30259,10.0259,-49.9741
Region_260,0.5026,0.3026,10.026,-49.974
Region_261,0.50261,0.30261,10.0261,-49.9739
Region_262,0.50262,0.30262,10.0262,-49.9738
Region_263,0.50263,0.30263,10.0263,-49.9737
Region_264,0.50264,0.30264,10.0264,-49.9736
Region_265,0.50265,0.30265,10.0265,-49.9735
Region_266,0.50266,0.30266,10.0266,-49.9734
Region_267,0.50267,0.30267,10.0267,-49.9733
Region_268,0.50268,0.30268,10.0268,-49.9732
Region_269,0.50269,0.30269,10.0269,-49.9731
Region_270,0.5027,0.3027,10.027,-49.973
Region_271,0.50271,0.30271,10.0271,-49.9729
Region_272,0.50272,0.30272,10.0272,-49.9728
Region_273,0.50273,0.30273,10.0273,-49.9727
Region_274,0.50274,0.30274,10.0274,-49.9726
Region_275,0.50275,0.30275,10.0275,-49.9725
Region_276,0.50276,0.30276,10.0276,-49.9724
Region_277,0.50277,0.30277,10.0277,-49.9723
Region_278,0.50278,0.30278,10.0278,-49.9722
Region_279,0.50279,0.30279,10.0279,-49.9721
Region_280,0.5028,0.3028,10.028,-49.972
Region_281,0.50281,0.30281,10.0281,-49.9719
Region_282,0.50282,0.30282,10.0282,-49.9718
Region_283,0.50283,0.30283,10.0283,-49.9717
Region_284,0.50284,0.30284,10.0284,-49.9716
Region_285,0.50285,0.30285,10.0285,-49.9715
Region_286,0.50286,0.30286,10.0286,-49.9714
Region_287,0.50287,0.30287,10.0287,-49.9713
Region_288,0.50288,0.30288,10.0288,-49.9712
Region_289,0.50289,0.30289,10.0289,-49.9711
Region_290,0.5029,0.3029,10.029,-49.971
Region_291,0.50291,0.30291,10.0291,-49.9709
Region_292,0.50292,0.30292,10.0292,-49.9708
Region_293,0.50293,0.30293,10.0293,-49.9707
Region_294,0.50294,0.30294,10.0294,-49.9706
Region_295,0.50295,0.30295,10.0295,-49.9705
Region_296,0.50296,0.30296,10.0296,-49.9704
Region_297,0.50297,0.30297,10.0297,-49.9703
Region_298,0.50298,0.30298,10.0298,-49.9702
Region_299,0.50299,0.30299,10.0299,-49.9701
Region_300,0.503,0.303,10.03,-49.97
Region_301,0.50301,0.30301,10.0301,-49.9699
Region_302,0.50302,0.30302,10.0302,-49.9698
Region_303,0.50303,0.30303,10.0303,-49.9697
Region_304,0.50304,0.30304,10.0304,-49.9696
Region_305,0.50305,0.30305,10.0305,-49.9695
Region_306,0.50306,0.30306,10.0306,-49.9694
Region_307,0.50307,0.30307,10.0307,-49.9693
Region_308,0.50308,0.30308,10.0308,-49.9692
Region_309,0.50309,0.30309,10.0309,-49.9691
Region_310,0.5031,0.3031,10.031,-49.969
Region_311,0.50311,0.30311,10.0311,-49.9689
Region_312,0.50312,0.30312,10.0312,-49.9688
Region_313,0.50313,0.30313,10.0313,-49.9687
Region_314,0.50314,0.30314,10.0314,-49.9686
Region_315,0.50315,0.30315,10.0315,-49.9685
Region_316,0.50316,0.30316,10.0316,-49.9684
Region_317,0.50317,0.30317,10.0317,-49.9683
Region_318,0.50318,0.30318,10.0318,-49.9682
Region_319,0.50319,0.30319,10.0319,-49.9681
Region_320,0.5032,0.3032,10.032,-49.968
Region_321,0.50321,0.30321,10.0321,-49.9679
Region_322,0.50322,0.30322,10.0322,-49.9678
Region_323,0.50323,0.30323,10.0323,-49.9677
Region_324,0.50324,0.30324,10.0324,-49.9676
Region_325,0.50325,0.30325,10.0325,-49.9675
Region_326,0.50326,0.30326,10.0326,-49.9674
Region_327,0.50327,0.30327,10.0327,-49.9673
Region_328,0.50328,0.30328,10.0328,-49.9672
Region_329,0.50329,0.30329,10.0329,-49.9671
Region_330,0.5033,0.3033,10.033,-49.967
Region_331,0.50331,0.30331,10.0331,-49.9669
Region_332,0.50332,0.30332,10.0332,-49.9668
Region_333,0.50333,0.30333,10.0333,-49.9667
Region_334,0.50334,0.30334,10.0334,-49.9666
Region_335,0.50335,0.30335,10.0335,-49.9665
Region_336,0.50336,0.30336,10.0336,-49.9664
Region_337,0.50337,0.30337,10.0337,-49.9663
Region_338,0.50338,0.30338,10.0338,-49.9662
Region_339,0.50339,0.30339,10.0339,-49.9661
Region_340,0.5034,0.3034,10.034,-49.966
Region_341,0.50341,0.30341,10.0341,-49.9659
Region_342,0.50342,0.30342,10.0342,-49.9658
Region_343,0.50343,0.30343,10.0343,-49.9657
Region_344,0.50344,0.30344,10.0344,-49.9656
Region_345,0.50345,0.30345,10.0345,-49.9655
Region_346,0.50346,0.30346,10.0346,-49.9654
Region_347,0.50347,0.30347,10.0347,-49.9653
Region_348,0.50348,0.30348,10.0348,-49.9652
Region_349,0.50349,0.30349,10.0349,-49.9651
Region_350,0.5035,0.3035,10.035,-49.965
Region_351,0.50351,0.30351,10.0351,-49.9649
Region_352,0.50352,0.30352,10.0352,-49.9648
Region_353,0.50353,0.30353,10.0353,-49.9647
Region_354,0.50354,0.30354,10.0354,-49.9646
Region_355,0.50355,0.30355,10.0355,-49.9645
Region_356,0.50356,0.30356,10.0356,-49.9644
Region_357,0.50357,0.30357,10.0357,-49.9643
Region_358,0.50358,0.30358,10.0358,-49.9642
Region_359,0.50359,0.30359,10.0359,-49.9641
Region_360,0.5036,0.3036,10.036,-49.964
Region_361,0.50361,0.30361,10.0361,-49.9639
Region_362,0.50362,0.30362,10.0362,-49.9638
Region_363,0.50363,0.30363,10.0363,-49.9637
Region_364,0.50364,0.30364,10.0364,-49.9636
Region_365,0.50365,0.30365,10.0365,-49.9635
Region_366,0.50366,0.30366,10.0366,-49.9634
Region_367,0.50367,0.30367,10.0367,-49.9633
Region_368,0.50368,0.30368,10.0368,-49.9632
Region_369,0.50369,0.30369,10.0369,-49.9631
Region_370,0.5037,0.3037,10.037,-49.963
Region_371,0.50371,0.30371,10.0371,-49.9629
Region_372,0.50372,0.30372,10.0372,-49.9628
Region_373,0.50373,0.30373,10.0373,-49.9627
Region_374,0.50374,0.30374,10.0374,-49.9626
Region_375,0.50375,0.30375,10.0375,-49.9625
Region_376,0.50376,0.30376,10.0376,-49.9624
Region_377,0.50377,0.30377,10.0377,-49.9623
Region_378,0.50378,0.30378,10.0378,-49.9622
Region_379,0.50379,0.30379,10.0379,-49.9621
Region_380,0.5038,0.3038,10.038,-49.962
Region_381,0.50381,0.30381,10.0381,-49.9619
Region_382,0.50382,0.30382,10.0382,-49.9618
Region_383,0.50383,0.30383,10.0383,-49.9617
Region_384,0.50384,0.30384,10.0384,-49.9616
Region_385,0.50385,0.30385,10.0385,-49.9615
Region_386,0.50386,0.30386,10.0386,-49.9614
Region_387,0.50387,0.30387,10.0387,-49.9613
Region_388,0.50388,0.30388,10.0388,-49.9612
Region_389,0.50389,0.30389,10.0389,-49.9611
Region_390,0.5039,0.3039,10.039,-49.961
Region_391,0.50391,0.30391,10.0391,-49.9609
Region_392,0.50392,0.30392,10.0392,-49.9608
Region_393,0.50393,0.30393,10.0393,-49.9607
Region_394,0.50394,0.30394,10.0394,-49.9606
Region_395,0.50395,0.30395,10.0395,-49.9605
Region_396,0.50396,0.30396,10.0396,-49.9604
Region_397,0.50397,0.30397,10.0397,-49.9603
Region_398,0.50398,0.30398,10.0398,-49.9602
Region_399,0.50399,0.30399,10.0399,-49.9601
Region_400,0.504,0.304,10.04,-49.96
Region_401,0.50401,0.30401,10.0401,-49.9599
Region_402,0.50402,0.30402,10.0402,-49.9598
Region_403,0.50403,0.30403,10.0403,-49.9597
Region_404,0.50404,0.30404,10.0404,-49.9596
Region_405,0.50405,0.30405,10.0405,-49.9595
Region_406,0.50406,0.30406,10.0406,-49.9594
Region_407,0.50407,0.30407,10.0407,-49.9593
Region_408,0.50408,0.30408,10.0408,-49.9592
Region_409,0.50409,0.30409,10.0409,-49.9591
Region_410,0.5041,0.3041,10.041,-49.959
Region_411,0.50411,0.30411,10.0411,-49.9589
Region_412,0.50412,0.30412,10.0412,-49.9588
Region_413,0.50413,0.30413,10.0413,-49.9587
Region_414,0.50414,0.30414,10.0414,-49.9586
Region_415,0.50415,0.30415,10.0415,-49.9585
Region_416,0.50416,0.30416,10.0416,-49.9584
Region_417,0.50417,0.30417,10.0417,-49.9583
Region_418,0.50418,0.30418,10.0418,-49.9582
Region_419,0.50419,0.30419,10.0419,-49.9581
Region_420,0.5042,0.3042,10.042,-49.958
Region_421,0.50421,0.30421,10.0421,-49.9579
Region_422,0.50422,0.30422,10.0422,-49.9578
Region_423,0.50423,0.30423,10.0423,-49.9577
Region_424,0.50424,0.30424,10.0424,-49.9576
Region_425,0.50425,0.30425,10.0425,-49.9575
Region_426,0.50426,0.30426,10.0426,-49.9574
Region_427,0.50427,0.30427,10.0427,-49.9573
Region_428,0.50428,0.30428,10.0428,-49.9572
Region_429,0.50429,0.30429,10.0429,-49.9571
Region_430,0.5043,0.3043,10.043,-49.957
Region_431,0.50431,0.30431,10.0431,-49.9569
Region_432,0.50432,0.30432,10.0432,-49.9568
Region_433,0.50433,0.30433,10.0433,-49.9567
Region_434,0.50434,0.30434,10.0434,-49.9566
Region_435,0.50435,0.30435,10.0435,-49.9565
Region_436,0.50436,0.30436,10.0436,-49.9564
Region_437,0.50437,0.30437,10.0437,-49.9563
Region_438,0.50438,0.30438,10.0438,-49.9562
Region_439,0.50439,0.30439,10.0439,-49.9561
Region_440,0.5044,0.3044,10.044,-49.956
Region_441,0.50441,0.30441,10.0441,-49.9559
Region_442,0.50442,0.30442,10.0442,-49.9558
Region_443,0.50443,0.30443,10.0443,-49.9557
Region_444,0.50444,0.30444,10.0444,-49.9556
Region_445,0.50445,0.30445,10.0445,-49.9555
Region_446,0.50446,0.30446,10.0446,-49.9554
Region_447,0.50447,0.30447,10.0447,-49.9553
Region_448,0.50448,0.30448,10.0448,-49.9552
Region_449,0.50449,0.30449,10.0449,-49.9551
Region_450,0.5045,0.3045,10.045,-49.955
Region_451,0.50451,0.30451,10.0451,-49.9549
Region_452,0.50452,0.30452,10.0452,-49.9548
Region_453,0.50453,0.30453,10.0453,-49.9547
Region_454,0.50454,0.30454,10.0454,-49.9546
Region_455,0.50455,0.30455,10.0455,-49.9545
Region_456,0.50456,0.30456,10.0456,-49.9544
Region_457,0.50457,0.30457,10.0457,-49.9543
Region_458,0.50458,0.30458,10.0458,-49.9542
Region_459,0.50459,0.30459,10.0459,-49.9541
Region_460,0.5046,0.3046,10.046,-49.954
Region_461,0.50461,0.30461,10.0461,-49.9539
Region_462,0.50462,0.30462,10.0462,-49.9538
Region_463,0.50463,0.30463,10.0463,-49.9537
Region_464,0.50464,0.30464,10.0464,-49.9536
Region_465,0.50465,0.30465,10.0465,-49.9535
Region_466,0.50466,0.30466,10.0466,-49.9534
Region_467,0.50467,0.30467,10.0467,-49.9533
Region_468,0.50468,0.30468,10.0468,-49.9532
Region_469,0.50469,0.30469,10.0469,-49.9531
Region_470,0.5047,0.3047,10.047,-49.953
Region_471,0.50471,0.30471,10.0471,-49.9529
Region_472,0.50472,0.30472,10.0472,-49.9528
Region_473,0.50473,0.30473,10.0473,-49.9527
Region_474,0.50474,0.30474,10.0474,-49.9526
Region_475,0.50475,0.30475,10.0475,-49.9525
Region_476,0.50476,0.30476,10.0476,-49.9524
Region_477,0.50477,0.30477,10.0477,-49.9523
Region_478,0.50478,0.30478,10.0478,-49.9522
Region_479,0.50479,0.30479,10.0479,-49.9521
Region_480,0.5048,0.3048,10.048,-49.952
Region_481,0.50481,0.30481,10.0481,-49.9519
Region_482,0.50482,0.30482,10.0482,-49.9518
Region_483,0.50483,0.30483,10.0483,-49.9517
Region_484,0.50484,0.30484,10.0484,-49.9516
Region_485,0.50485,0.30485,10.0485,-49.9515
Region_486,0.50486,0.30486,10.0486,-49.9514
Region_487,0.50487,0.30487,10.0487,-49.9513
Region_488,0.50488,0.30488,10.0488,-49.9512
Region_489,0.50489,0.30489,10.0489,-49.9511
Region_490,0.5049,0.3049,10.049,-49.951
Region_491,0.50491,0.30491,10.0491,-49.9509
Region_492,0.50492,0.30492,10.0492,-49.9508
Region_493,0.50493,0.30493,10.0493,-49.9507
Region_494,0.50494,0.30494,10.0494,-49.9506
Region_495,0.50495,0.30495,10.0495,-49.9505
Region_496,0.50496,0.30496,10.0496,-49.9504
Region_497,0.50497,0.30497,10.0497,-49.9503
Region_498,0.50498,0.30498,10.0498,-49.9502
Region_499,0.50499,0.30499,10.0499,-49.9501
Region_500,0.505,0.305,10.05,-49.95
Region_501,0.50501,0.30501,10.0501,-49.9499
Region_502,0.50502,0.30502,10.0502,-49.9498
Region_503,0.50503,0.30503,10.0503,-49.9497
Region_504,0.50504,0.30504,10.0504,-49.9496
Region_505,0.50505,0.30505,10.0505,-49.9495
Region_506,0.50506,0.30506,10.0506,-49.9494
Region_507,0.50507,0.30507,10.0507,-49.9493
Region_508,0.50508,0.30508,10.0508,-49.9492
Region_509,0.50509,0.30509,10.0509,-49.9491
Region_510,0.5051,0.3051,10.051,-49.949
Region_511,0.50511,0.30511,10.0511,-49.9489
Region_512,0.50512,0.30512,10.0512,-49.9488
Region_513,0.50513,0.30513,10.0513,-49.9487
Region_514,0.50514,0.30514,10.0514,-49.9486
Region_515,0.50515,0.30515,10.0515,-49.9485
Region_516,0.50516,0.30516,10.0516,-49.9484
Region_517,0.50517,0.30517,10.0517,-49.9483
Region_518,0.50518,0.30518,10.0518,-49.9482
Region_519,0.50519,0.30519,10.0519,-49.9481
Region_520,0.5052,0.3052,10.052,-49.948
Region_521,0.50521,0.30521,10.0521,-49.9479
Region_522,0.50522,0.30522,10.0522,-49.9478
Region_523,0.50523,0.30523,10.0523,-49.9477
Region_524,0.50524,0.30524,10.0524,-49.9476
Region_525,0.50525,0.30525,10.0525,-49.9475
Region_526,0.50526,0.30526,10.0526,-49.9474
Region_527,0.50527,0.30527,10.0527,-49.9473
Region_528,0.50528,0.30528,10.0528,-49.9472
Region_529,0.50529,0.30529,10.0529,-49.9471
Region_530,0.5053,0.3053,10.053,-49.947
Region_531,0.50531,0.30531,10.0531,-49.9469
Region_532,0.50532,0.30532,10.0532,-49.9468
Region_533,0.50533,0.30533,10.0533,-49.9467
Region_534,0.50534,0.30534,10.0534,-49.9466
Region_535,0.50535,0.30535,10.0535,-49.9465
Region_536,0.50536,0.30536,10.0536,-49.9464
Region_537,0.50537,0.30537,10.0537,-49.9463
Region_538,0.50538,0.30538,10.0538,-49.9462
Region_539,0.50539,0.30539,10.0539,-49.9461
Region_540,0.5054,0.3054,10.054,-49.946
